"",index,raw name,mz_time,Peak.Id,mz,rt,Compound,exact_mass,Add.name
"1",1,81.5179849604359 / 39.9000015258789,81.518 / 39.9,81.5179849604359 / 39.9000015258789,81.518,39.9,C01044,161.0324,M+2H
"2",2,82.0191760858652 / 39.9000015258789,82.0192 / 39.9,82.0191760858652 / 39.9000015258789,82.0192,39.9,C01127,162.0164,M+2H
"3",3,83.0576473574949 / 30.8999996185303,83.0576 / 30.9,83.0576473574949 / 30.8999996185303,83.0576,30.9,C11224,164.095,M+2H
"4",4,83.0576492187378 / 25.5,83.0576 / 25.5,83.0576492187378 / 25.5,83.0576,25.5,C11224,164.095,M+2H
"5",5,91.0219167335147 / 39.6279373168945,91.0219 / 39.6,91.0219167335147 / 39.6279373168945,91.0219,39.6,C01179,180.0423,M+2H
"6",6,94.0429886347041 / 39.5999984741211,94.043 / 39.6,94.0429886347041 / 39.5999984741211,94.043,39.6,C02526,186.0681,M+2H
"7",7,94.5444244486798 / 39.5999984741211,94.5444 / 39.6,94.5444244486798 / 39.5999984741211,94.5444,39.6,C03682,187.0845,M+2H
"8",8,95.0423117613075 / 39.5999984741211,95.0423 / 39.6,95.0423117613075 / 39.5999984741211,95.0423,39.6,C06589,188.0837,M+2H
"9",9,100.074392965554 / 127.199996948242,100.0744 / 127.2,100.074392965554 / 127.199996948242,100.0744,127.2,C05575,198.1243,M+2H
"10",10,102.032572747331 / 39.5999984741211,102.0326 / 39.6,102.032572747331 / 39.5999984741211,102.0326,39.6,C03569,202.063,M+2H
"11",11,102.533098879328 / 39.5999984741211,102.5331 / 39.6,102.533098879328 / 39.5999984741211,102.5331,39.6,C00331,203.0582,M+2H
"12",12,103.546527920434 / 39.2999992370605,103.5465 / 39.3,103.546527920434 / 39.2999992370605,103.5465,39.3,C02043,205.0739,M+2H
"13",13,104.105360970295 / 46.5,104.1054 / 46.5,104.105360970295 / 46.5,104.1054,46.5,C01390,86.07317,M+NH4
"14",14,105.03217356251 / 450.562622070312,105.0322 / 450.6,105.03217356251 / 450.562622070312,105.0322,450.6,C02147,208.0592,M+2H
"15",15,105.040591939202 / 43.7244701385498,105.0406 / 43.7,105.040591939202 / 43.7244701385498,105.0406,43.7,C02147,208.0592,M+2H
"16",16,110.008023984773 / 39.9000015258789,110.008 / 39.9,110.008023984773 / 39.9000015258789,110.008,39.9,C15237,218.0135,M+2H
"17",17,110.017890203856 / 1.79999995231628,110.0179 / 1.8,110.017890203856 / 1.79999995231628,110.0179,1.8,C14569,218.0224,M+2H
"18",18,110.017890609979 / 27.8999996185303,110.0179 / 27.9,110.017890609979 / 27.8999996185303,110.0179,27.9,C14569,218.0224,M+2H
"19",19,111.53505725799 / 39.2999992370605,111.5351 / 39.3,111.53505725799 / 39.2999992370605,111.5351,39.3,C01100,221.0565,M+2H
"20",20,114.06495368033 / 48.5999984741211,114.065 / 48.6,114.06495368033 / 48.5999984741211,114.065,48.6,C00386,226.1066,M+2H
"21",21,115.067766555075 / 48.2999992370605,115.0678 / 48.3,115.067766555075 / 48.2999992370605,115.0678,48.3,C06656,228.1222,M+2H
"22",22,116.105855852907 / 51.247766494751,116.1059 / 51.2,116.105855852907 / 51.247766494751,116.1059,51.2,C00414,98.07317,M+NH4
"23",23,118.084702814779 / 49.2000007629395,118.0847 / 49.2,118.084702814779 / 49.2000007629395,118.0847,49.2,C09350,234.162,M+2H
"24",24,120.065011576347 / 52.7999992370605,120.065 / 52.8,120.065011576347 / 52.7999992370605,120.065,52.8,C19037,238.1237,M+2H
"25",25,120.07918247977 / 131.699996948242,120.0792 / 131.7,120.07918247977 / 131.699996948242,120.0792,131.7,C09023,238.147,M+2H
"26",26,121.029162900568 / 191.699996948242,121.0292 / 191.7,121.029162900568 / 191.699996948242,121.0292,191.7,C10965,240.0569,M+2H
"27",27,121.028463516518 / 249,121.0285 / 249,121.028463516518 / 249,121.0285,249,C10965,240.0569,M+2H
"28",28,121.070554826897 / 52.7999992370605,121.0706 / 52.8,121.070554826897 / 52.7999992370605,121.0706,52.8,C00884,240.1222,M+2H
"29",29,121.070522229512 / 78.3000030517578,121.0705 / 78.3,121.070522229512 / 78.3000030517578,121.0705,78.3,C00884,240.1222,M+2H
"30",30,121.070691718454 / 105.599998474121,121.0707 / 105.6,121.070691718454 / 105.599998474121,121.0707,105.6,C00884,240.1222,M+2H
"31",31,121.071007286355 / 58.7999992370605,121.071 / 58.8,121.071007286355 / 58.7999992370605,121.071,58.8,C00884,240.1222,M+2H
"32",32,121.063187046906 / 1011.29998779297,121.0632 / 1011.3,121.063187046906 / 1011.29998779297,121.0632,1011.3,C00884,240.1222,M+2H
"33",33,121.070631599901 / 96.6000061035156,121.0706 / 96.6,121.070631599901 / 96.6000061035156,121.0706,96.6,C00884,240.1222,M+2H
"34",34,121.070668525859 / 139.5,121.0707 / 139.5,121.070668525859 / 139.5,121.0707,139.5,C00884,240.1222,M+2H
"35",35,121.070718463847 / 201.899993896484,121.0707 / 201.9,121.070718463847 / 201.899993896484,121.0707,201.9,C00884,240.1222,M+2H
"36",36,121.063162518084 / 988.350006103516,121.0632 / 988.4,121.063162518084 / 988.350006103516,121.0632,988.4,C00884,240.1222,M+2H
"37",37,121.070714944662 / 112.5,121.0707 / 112.5,121.070714944662 / 112.5,121.0707,112.5,C00884,240.1222,M+2H
"38",38,121.070759230425 / 116.399997711182,121.0708 / 116.4,121.070759230425 / 116.399997711182,121.0708,116.4,C00884,240.1222,M+2H
"39",39,121.070721601164 / 127.200012207031,121.0707 / 127.2,121.070721601164 / 127.200012207031,121.0707,127.2,C00884,240.1222,M+2H
"40",40,122.545478988868 / 39,122.5455 / 39,122.545478988868 / 39,122.5455,39,C00475,243.0855,M+2H
"41",41,123.043374766355 / 39,123.0434 / 39,123.043374766355 / 39,123.0434,39,C00120,244.0882,M+2H
"42",42,125.985197696051 / 39.9000015258789,125.9852 / 39.9,125.985197696051 / 39.9000015258789,125.9852,39.9,C11536,249.9548,M+2H
"43",43,126.090427057418 / 210,126.0904 / 210,126.090427057418 / 210,126.0904,210,C05318,250.1596,M+2H
"44",44,130.048188380852 / 67.2000045776367,130.0482 / 67.2,130.048188380852 / 67.2000045776367,130.0482,67.2,C04663,258.0964,M+2H
"45",45,130.048242831943 / 509.399993896484,130.0482 / 509.4,130.048242831943 / 509.399993896484,130.0482,509.4,C04663,258.0964,M+2H
"46",46,130.064239986024 / 920.700012207031,130.0642 / 920.7,130.064239986024 / 920.700012207031,130.0642,920.7,C00670,258.1106,M+2H
"47",47,130.107801050616 / 49.7999992370605,130.1078 / 49.8,130.107801050616 / 49.7999992370605,130.1078,49.8,C14253,258.1831,M+2H
"48",48,131.047915070976 / 776.099975585938,131.0479 / 776.1,131.047915070976 / 776.099975585938,131.0479,776.1,C09010,260.0685,M+2H
"49",49,132.043497154123 / 258.600006103516,132.0435 / 258.6,132.043497154123 / 258.600006103516,132.0435,258.6,C08052,262.059,M+2H
"50",50,132.10044364407 / 84,132.1004 / 84,132.10044364407 / 84,132.1004,84,C09860,262.2045,M+2H
